bmrs_id,repd_id,name,capacity,turbine_capacity,turbine_count,lon,lat,gen_type
[],[2576],Cemmaes 'C' Wind Farm,15.3,[0.85],[18.0],-3.6725281,52.6506826,
[],[2582],Llanbabo Wind Farm,20.4,[2.25],[9.0],-4.4545816,53.3588506,
[],[2586],Tow Law Wind Farm,2.6,[0.9],[3.0],-1.7983411,54.754903,
[],[2587],Kirkheaton Wind Farm,1.8,[0.6],[3.0],-1.9874341,55.0872871,
[],[2591],Great Eppleton Wind Farm,3,[0.75],[4.0],-1.4283789,54.8327632,
[],[2618],Wharrels Hill Wind Farm,10.4,[1.3],[8.0],-3.2832004,54.7284523,
[],[2624],Siddick Wind Farm,4.2,[0.6],[7.0],-3.5428669,54.6735319,
[],[2625],Oldside Wind Farm,5.4,[0.6],[9.0],-3.5629174,54.6578238,
[],[2626],Haverigg Extension Wind Farm,2.4,[0.6],[4.0],-3.3266321,54.2022542,
[],[2630],Blaen Bowi Wind Farm,3.9,[1.3],[3.0],-4.438745,51.9959947,
[],[2636],Parc-Cynog Wind Farm,3.6,[0.7],[5.0],-4.5257108,51.7579693,
[],[2653],Moel Maelogen A,2.6,[1.3],[2.0],-3.7234317,53.137648,
[],[2659],Out Newton Wind Farm,9,[1.3],[7.0],0.1014946,53.66816,
[],[2672],Brockholes Wind Cluster,2.4,[0.8],[3.0],-2.2975902,55.8620725,
[],[2674],Maesgwyn,26,[2.0],[13.0],-3.6516556,51.7603391,
[],[2680],Spicer Hill Wind Farm,6.9,[2.3],[3.0],-1.6926766,53.540828,
[],[2683],Ford Motor Company Ltd (Extension),2,[2.0],[1.0],0.1509932,51.5219782,
[],[2697],Hammar's Hill,4.3,[0.9],[5.0],-3.0800469,59.0849837,
[],[2708],Strath of Brydock - Extension,2.3,[1.3],[1.0],-2.5818252,57.6261341,
[],[2713],Kirkby Moor,4.8,[0.4],[12.0],-3.1436503,54.2429614,
[],[2715],Bambers II,4.6,[0.76],[6.0],0.2303662,53.3217921,
[],[2724],Cairnmore Farm,2.6,[0.85],[3.0],-2.8252686,57.3086607,
[],[2741],St Fergus Moss Wind Farm,6,[2.0],[3.0],-1.9151427,57.5707347,
[],[2747],Chelker Reservoir (Retention of Turbines),1.2,[0.3],[4.0],-1.910901,53.9618046,
[],[2758],Hill of Balquhindachy extension,1.7,[0.85],[2.0],-2.2389697,57.4738572,
[],[2776],Taff Ely Wind Farm,9,[0.45],[20.0],-3.470597,51.5684841,
